,Program_Description,Function_Description,Fund_Description,Location_Description,total_budget,total_fte,num_records
497,EMPLOYEE BENEFITS,NON-PROJECT,,SPECIAL EDUCATION,-288428.83,0.0,585
498,EMPLOYEE BENEFITS,NON-PROJECT,,STRATEGY OFFICE,-6580.16,0.0,18
499,EMPLOYEE BENEFITS,NON-PROJECT,,SUMMER SCHOOL - ELEMENTARY SCH,-1808.28,0.0,6
500,EMPLOYEE BENEFITS,NON-PROJECT,,SUMMER SCHOOL - HIGH SCHOOLS,-2563.31,0.0,4
501,EMPLOYEE BENEFITS,NON-PROJECT,,SUPERINTENDENT OF SCHOOLS,-10288.39,0.0,12
502,EMPLOYEE BENEFITS,NON-PROJECT,,TEACHER EFFECTIVENESS,-20913.829999999998,0.0,40
503,EMPLOYEE BENEFITS,NON-PROJECT,,TEACHER LEARNING & LEADERSHIP,-20453.04,0.0,49
504,EMPLOYEE BENEFITS,NON-PROJECT,,TEACHER PERFORMANCE ASSESSMENT,-25.77,0.0,2
505,EMPLOYEE BENEFITS,NON-PROJECT,,TECHNOLOGY ENTERPRISE APPS,-34628.479999999996,0.0,54
506,EMPLOYEE BENEFITS,NON-PROJECT,,TITLE I - EDUCATIONAL OUTREACH,-3795.7,0.0,13
507,EMPLOYEE BENEFITS,NON-PROJECT,,TRANSPORTATION,-70305.06,0.0,220
508,EMPLOYEE BENEFITS,NON-PROJECT,,WAREHOUSE OPERATIONS,-11875.73,0.0,30
509,EMPLOYEE BENEFITS,NON-PROJECT,,,-5832033.73,0.0,15519
510,EMPLOYEE BENEFITS,Other,,BUDGETARY SERVICES,6330.87,0.0,1
511,EMPLOYEE BENEFITS,Other,,COMMUNITY USE OF FACILITIES,2226.79,0.0,1
512,EMPLOYEE BENEFITS,Other,,CONSTRUCTION SERVICES,10000.64,0.0,1
513,EMPLOYEE BENEFITS,Other,,EMPLOYEE BENEFITS,13510039.25,0.0,1
514,EMPLOYEE BENEFITS,Other,,EMPLOYEE RELATIONS,0.0,0.0,1
515,EMPLOYEE BENEFITS,Other,,FOOD AND NUTRITION SERVICES,5147.08,0.0,1
516,EMPLOYEE BENEFITS,Other,,GARAGE,212.41,0.0,1
517,EMPLOYEE BENEFITS,Other,,HIGH SCHOOL EDUCATION,19359.64,0.0,1
518,EMPLOYEE BENEFITS,Other,,HUMAN RESOURCES,2824.28,0.0,1
519,EMPLOYEE BENEFITS,Other,,INTERDISCIPLINARY,3535.11,0.0,3
520,EMPLOYEE BENEFITS,Other,,IST - SYSTEMS SUPPORT,20174.82,0.0,2
521,EMPLOYEE BENEFITS,Other,,MAINTENANCE,50348.659999999996,0.0,6
522,EMPLOYEE BENEFITS,Other,,MANUAL COMPLEX,7163.870000000001,0.0,1
523,EMPLOYEE BENEFITS,Other,,MATH / SCIENCE,15383.31,0.0,1
524,EMPLOYEE BENEFITS,Other,,MULTILINGUAL OUTREACH,12265.55,0.0,1
525,EMPLOYEE BENEFITS,Other,,OPPORTUNITY SCHOOL,69072.81999999999,0.0,5
526,EMPLOYEE BENEFITS,Other,,PERSONNEL-PAID LEAVE,14757.66,0.0,12
527,EMPLOYEE BENEFITS,Other,,SAFETY AND SECURITY,5351.0,0.0,1
528,EMPLOYEE BENEFITS,Other,,SCHOOL NURSE SERVICES,33942.380000000005,0.0,4
529,EMPLOYEE BENEFITS,Other,,SPECIAL EDUCATION,45318.61,0.0,6
530,EMPLOYEE BENEFITS,Other,,TEACHER LEARNING & LEADERSHIP,2790.2,0.0,1
531,EMPLOYEE BENEFITS,Other,,TECHNOLOGY ENTERPRISE APPS,19.71,0.0,1
532,EMPLOYEE BENEFITS,Other,,TRANSPORTATION,49703.77,0.0,8
533,EMPLOYEE BENEFITS,Other,,WAREHOUSE OPERATIONS,4547.0199999999995,0.0,2
534,EMPLOYEE BENEFITS,Other,,,947861.1299999999,0.0,164
535,GENERAL ELEMENTARY EDUCATION,NON-PROJECT,,CHARTER SCHOOL,1953591.4,0.0,1
536,GENERAL ELEMENTARY EDUCATION,NON-PROJECT,,ELEMENTARY EDUCATION,-2927907.9,0.0,3
537,GENERAL ELEMENTARY EDUCATION,NON-PROJECT,,ITEMGA OUTDOOR EDUCATION,311411.22208604997,5.256475074058,38
538,GENERAL ELEMENTARY EDUCATION,NON-PROJECT,,ITEMGH ELEMENTARY,3321.61189809,0.0564137772465,4
539,GENERAL ELEMENTARY EDUCATION,NON-PROJECT,,,25705957.746222854,311.83783084034303,4935
540,GENERAL ELEMENTARY EDUCATION,Other,,ALL SCHOOLS-UNDISTRIBUTED,232237.2088,0.0,8
541,GENERAL ELEMENTARY EDUCATION,Other,,CHARTER SCHOOL,200037.5,0.0,9
542,GENERAL ELEMENTARY EDUCATION,Other,,EARLY CHILDHOOD EDUCATION,193408.96457653047,0.17313709587837,19
543,GENERAL ELEMENTARY EDUCATION,Other,,ED RESOURCE SERVICES,281680.11912000005,0.0,27
544,GENERAL ELEMENTARY EDUCATION,Other,,ELEMENTARY EDUCATION,119061.41245745998,0.174047619048,124
545,GENERAL ELEMENTARY EDUCATION,Other,,ES TEAM ,482275.0660146156,26.49664482447873,267
546,GENERAL ELEMENTARY EDUCATION,Other,,INTENTIONAL SCHOOL CULTURE,1250.66,0.0,3
547,GENERAL ELEMENTARY EDUCATION,Other,,ITEMGH ELEMENTARY,2908.48189809,0.0564137772465,4
548,GENERAL ELEMENTARY EDUCATION,Other,,LANGUAGE SCHOOL,80946.5,0.0,2
549,GENERAL ELEMENTARY EDUCATION,Other,,,98565266.80070534,1544.2988386206503,27000
550,GENERAL ELEMENTARY EDUCATION,TITLE I,,CHARTER SCHOOL,23180.089999999997,0.0,2
551,GENERAL ELEMENTARY EDUCATION,TITLE I,,,7441096.542502794,138.06234676269463,1408
552,GENERAL ELEMENTARY EDUCATION,TITLE I A - ARRA,,ALL SCHOOLS-UNDISTRIBUTED,597149.95598125,0.0434782608696,266
553,GENERAL ELEMENTARY EDUCATION,TITLE I A - ARRA,,CHARTER SCHOOL,16825.190000000002,0.0,1
554,GENERAL ELEMENTARY EDUCATION,TITLE I A - ARRA,,HUMANITIES,199561.58,0.0,2
555,GENERAL ELEMENTARY EDUCATION,TITLE I A - ARRA,,,1476562.9428080444,31.37143388374266,462
556,GENERAL HIGH SCHOOL EDUCATION,NON-PROJECT,,GED-GRADUATION EQUIVALENT DIPL,4937.44,0.0,3
557,GENERAL HIGH SCHOOL EDUCATION,NON-PROJECT,,HIGH SCHOOL EDUCATION,-12163.910000000003,0.0,2
558,GENERAL HIGH SCHOOL EDUCATION,NON-PROJECT,,NIGHT HS,79205.014813226,1.40892382901042,41
559,GENERAL HIGH SCHOOL EDUCATION,NON-PROJECT,,ONLINE SCHOOL,447243.8753911,4.0078963062,39
560,GENERAL HIGH SCHOOL EDUCATION,NON-PROJECT,,VOCATIONAL/TECHNICAL SCHOOLS,6154.96,0.0,1
561,GENERAL HIGH SCHOOL EDUCATION,NON-PROJECT,,,60716100.48039675,561.712458318881,4499
562,GENERAL HIGH SCHOOL EDUCATION,Other,,ALL SCHOOLS-UNDISTRIBUTED,184881.81573275203,0.3072682826772999,15
563,GENERAL HIGH SCHOOL EDUCATION,Other,,ALTERNATIVE ED / CONSTITUENCY,5507.97,0.0,2
564,GENERAL HIGH SCHOOL EDUCATION,Other,,COMMUNITY ,12299.86,0.0,1
565,GENERAL HIGH SCHOOL EDUCATION,Other,,GED-GRADUATION EQUIVALENT DIPL,14864.3332425,0.254175829317,4
566,GENERAL HIGH SCHOOL EDUCATION,Other,,HIGH SCHOOL EDUCATION,24905.716221232044,0.09482730588281539,37
567,GENERAL HIGH SCHOOL EDUCATION,Other,,HS TEAM ,684478.8703200001,0.0,83
568,GENERAL HIGH SCHOOL EDUCATION,Other,,INTERDISCIPLINARY,47339.6693760841,0.0190452803966119,60
569,GENERAL HIGH SCHOOL EDUCATION,Other,,MILITARY SCIENCE EDUCATION,152077.24664,0.0,35
570,GENERAL HIGH SCHOOL EDUCATION,Other,,NIGHT HS,1194.13,0.0,3
571,GENERAL HIGH SCHOOL EDUCATION,Other,,ONLINE SCHOOL,15905.180479999999,0.0,10
572,GENERAL HIGH SCHOOL EDUCATION,Other,,OPPORTUNITY SCHOOL,2371429.607042368,18.94191077163657,215
573,GENERAL HIGH SCHOOL EDUCATION,Other,,SECONDARY PATHWAYS,15874.83,0.0,2
574,GENERAL HIGH SCHOOL EDUCATION,Other,,SUPERINTENDENT OF SCHOOLS,2359.140000000001,0.0,1
575,GENERAL HIGH SCHOOL EDUCATION,Other,,,21466947.06689251,265.671895220462,5420
576,GENERAL HIGH SCHOOL EDUCATION,TITLE I,,,1974774.7343126666,27.63203888435171,400
577,GENERAL HIGH SCHOOL EDUCATION,TITLE I A - ARRA,,COMMUNITY ,11452.7,0.0,1
578,GENERAL HIGH SCHOOL EDUCATION,TITLE I A - ARRA,,ENVISION SCHOOLS COLORADO HS,22544.64,0.0,2
579,GENERAL HIGH SCHOOL EDUCATION,TITLE I A - ARRA,,SUMMER SCHOOL - HIGH SCHOOLS,179994.10184000002,0.0,136
580,GENERAL HIGH SCHOOL EDUCATION,TITLE I A - ARRA,,,668177.802495411,7.964982354809,179
581,GENERAL K-8 EDUCATION,NON-PROJECT,,,11193490.925033297,164.00402673308952,1616
582,GENERAL K-8 EDUCATION,Other,,CHARTER SCHOOL,6390.44,0.0,1
583,GENERAL K-8 EDUCATION,Other,,ED RESOURCE SERVICES,92227.17336000002,0.0,13
584,GENERAL K-8 EDUCATION,Other,,ELEMENTARY EDUCATION,-3328.13,0.0,7
585,GENERAL K-8 EDUCATION,Other,,,26893941.342595376,392.3438467608683,4001
586,GENERAL K-8 EDUCATION,TITLE I,,,2397552.196807005,38.92285658025014,446
587,GENERAL K-8 EDUCATION,TITLE I A - ARRA,,,437583.4490987137,11.62929551270828,166
588,GENERAL MIDDLE/JUNIOR HIGH SCH,NON-PROJECT,,LEARNING PARTNERSHIP,1622067.45,0.0,1
589,GENERAL MIDDLE/JUNIOR HIGH SCH,NON-PROJECT,,MIDDLE SCHOOL EDUCATION,5578.889999999999,0.0,1
590,GENERAL MIDDLE/JUNIOR HIGH SCH,NON-PROJECT,,,23930644.101988155,259.3102735403472,2773
591,GENERAL MIDDLE/JUNIOR HIGH SCH,Other,,ALL SECONDARY SCHOOLS,5242.49,0.0,2
592,GENERAL MIDDLE/JUNIOR HIGH SCH,Other,,ENVISION SCHOOLS COLORADO HS,17120.35,0.0,4
593,GENERAL MIDDLE/JUNIOR HIGH SCH,Other,,LEARNING PARTNERSHIP,46642.49,0.0,6
594,GENERAL MIDDLE/JUNIOR HIGH SCH,Other,,MIDDLE SCHOOL EDUCATION,24608.588541905403,0.09698275862077,49
595,GENERAL MIDDLE/JUNIOR HIGH SCH,Other,,SECONDARY PATHWAYS,5647.879316529999,0.10749971064149999,9
596,GENERAL MIDDLE/JUNIOR HIGH SCH,Other,,,15162200.411908966,210.70210336862996,4219
597,GENERAL MIDDLE/JUNIOR HIGH SCH,TITLE I,,LEARNING PARTNERSHIP,44753.479999999996,0.0,2
598,GENERAL MIDDLE/JUNIOR HIGH SCH,TITLE I,,,2217323.981353502,30.984372966362642,366
599,GENERAL MIDDLE/JUNIOR HIGH SCH,TITLE I A - ARRA,,LEARNING PARTNERSHIP,19744.23,0.0,1
600,GENERAL MIDDLE/JUNIOR HIGH SCH,TITLE I A - ARRA,,SUMMER SCHOOL - MIDDLE SCHOOLS,68392.08176,0.0,34
601,GENERAL MIDDLE/JUNIOR HIGH SCH,TITLE I A - ARRA,,,519950.20680414553,6.815520019812585,140
602,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,ALL SCHOOLS-UNDISTRIBUTED,117018.44,0.0,2
603,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,ALTERNATIVE ED / CONSTITUENCY,1369.5500000000004,0.0,1
604,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,ES TEAM ,36272.977594186996,0.0981071964018,71
605,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,GED-GRADUATION EQUIVALENT DIPL,999.12,0.0,1
606,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,HS TEAM ,6509.026,0.0,8
607,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,HUMAN RESOURCES,30600.1502293125,0.050380632501299996,70
608,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,HUMANITIES,210.83,0.0,1
609,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,LEADERSHIP DEVELOPMENT,151315.69377,1.00001427665,22
610,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,MS TEAM ,5117.64,0.0,5
611,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,OPPORTUNITY SCHOOL,533.774606685,0.017241379310339998,4
612,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,TEACHER LEARNING & LEADERSHIP,314774.53407585,1.5488986313425,787
613,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,TEACHER PERFORMANCE ASSESSMENT,4283.37149099,0.0833333333333,3
614,INSTRUCTIONAL STAFF TRAINING,NON-PROJECT,,,1851945.8434413522,38.51375617854712,8382
615,INSTRUCTIONAL STAFF TRAINING,Other,,ALL SCHOOLS-UNDISTRIBUTED,171579.01432,0.0,186
616,INSTRUCTIONAL STAFF TRAINING,Other,,ASSESSMENT & RESEARCH,6684.21728,0.0,263
617,INSTRUCTIONAL STAFF TRAINING,Other,,CHARTER SCHOOL,3988.05,0.0,1
618,INSTRUCTIONAL STAFF TRAINING,Other,,CHIEF ACADEMIC OFFICER,87781.1704,0.0,81
619,INSTRUCTIONAL STAFF TRAINING,Other,,COMMUNITY ,2399.73,0.0,1
620,INSTRUCTIONAL STAFF TRAINING,Other,,EARLY CHILDHOOD EDUCATION,200896.14417696043,0.8968198999295199,320
621,INSTRUCTIONAL STAFF TRAINING,Other,,ED RESOURCE SERVICES,20648.8205929692,0.03663793103448,88
622,INSTRUCTIONAL STAFF TRAINING,Other,,EDUCATIONAL SERVICES,3155.31,0.0,2
623,INSTRUCTIONAL STAFF TRAINING,Other,,ELEMENTARY EDUCATION,22211.528230303,0.025862068965539997,36
624,INSTRUCTIONAL STAFF TRAINING,Other,,ENGLISH FOR SPEAKERS OF OTHER,274244.389761301,2.1402703776151,227
625,INSTRUCTIONAL STAFF TRAINING,Other,,ENVISION SCHOOLS COLORADO HS,12671.01,0.0,1
626,INSTRUCTIONAL STAFF TRAINING,Other,,ES TEAM ,1164159.43458562,12.6132101166274,98
627,INSTRUCTIONAL STAFF TRAINING,Other,,FEDERAL PROG-DELINQ INSTITUT,265.55,0.0,1
628,INSTRUCTIONAL STAFF TRAINING,Other,,FEDERAL PROG-PRIVATE SCHOOLS,86474.59999999999,0.0,4
629,INSTRUCTIONAL STAFF TRAINING,Other,,FEDERAL PROGRAMS-NUMBER ,3742.5099999999998,0.0,3
630,INSTRUCTIONAL STAFF TRAINING,Other,,FEDERAL PROGRAMS/EXTERNAL RESO,243691.5906045,1.912650938241,44
631,INSTRUCTIONAL STAFF TRAINING,Other,,GIFTED AND TALENTED,40006.35168,0.0,8
632,INSTRUCTIONAL STAFF TRAINING,Other,,HIGH SCHOOL EDUCATION,8811.601895710999,0.05715892053978,37
633,INSTRUCTIONAL STAFF TRAINING,Other,,HS TEAM ,184637.0372743,2.326391716331,15
634,INSTRUCTIONAL STAFF TRAINING,Other,,HUMAN RESOURCES,328107.93,0.0,2
635,INSTRUCTIONAL STAFF TRAINING,Other,,HUMANITIES,1054605.6476944247,5.689940457160695,1284
636,INSTRUCTIONAL STAFF TRAINING,Other,,INTERDISCIPLINARY,193166.6782029433,0.5869648674878698,198
637,INSTRUCTIONAL STAFF TRAINING,Other,,LEADERSHIP DEVELOPMENT,17705.555363846972,0.1136127806463576,18
638,INSTRUCTIONAL STAFF TRAINING,Other,,LEARNING PARTNERSHIP,12795.85,0.0,3
639,INSTRUCTIONAL STAFF TRAINING,Other,,MATH / SCIENCE,641124.4992823257,0.54549433711204,1520
640,INSTRUCTIONAL STAFF TRAINING,Other,,MIDDLE SCHOOL EDUCATION,3197.14056,0.0,12
641,INSTRUCTIONAL STAFF TRAINING,Other,,MS TEAM ,201840.8027981,2.509930969463,15
642,INSTRUCTIONAL STAFF TRAINING,Other,,PRIVATE SCHOOLS,3612.1899999999996,0.0,2
643,INSTRUCTIONAL STAFF TRAINING,Other,,PSYCHOLOGICAL SERVICES,90.15,0.0,1
644,INSTRUCTIONAL STAFF TRAINING,Other,,SECONDARY PATHWAYS,80687.20592,0.0,82
645,INSTRUCTIONAL STAFF TRAINING,Other,,SPECIAL EDUCATION,732690.5964489139,1.2881914351630488,1265
646,INSTRUCTIONAL STAFF TRAINING,Other,,SUPERINTENDENT OF SCHOOLS,13160.46776923,0.2644246681402,7
647,INSTRUCTIONAL STAFF TRAINING,Other,,TEACHER EFFECTIVENESS,456559.9471297936,0.1299612924597,162
648,INSTRUCTIONAL STAFF TRAINING,Other,,TEACHER LEARNING & LEADERSHIP,913188.3605541799,3.3311476933627,959
649,INSTRUCTIONAL STAFF TRAINING,Other,,,2714313.0116264233,12.217032998347975,3680
650,INSTRUCTIONAL STAFF TRAINING,TITLE I,,COMMUNITY ,15564.37,0.0,2
651,INSTRUCTIONAL STAFF TRAINING,TITLE I,,ES TEAM ,215948.74481232002,2.6656651842009,26
652,INSTRUCTIONAL STAFF TRAINING,TITLE I,,FEDERAL PROG-INSTITUTIONS NEG,338.49776,0.0,4
653,INSTRUCTIONAL STAFF TRAINING,TITLE I,,FEDERAL PROG-PRIVATE SCHOOL,4752.4499926934,0.0034725080018299997,24
654,INSTRUCTIONAL STAFF TRAINING,TITLE I,,FEDERAL PROG-PRIVATE SCHOOLS,105328.53,0.0,16
655,INSTRUCTIONAL STAFF TRAINING,TITLE I,,HS TEAM ,171.662,0.00493821140298,4
656,INSTRUCTIONAL STAFF TRAINING,TITLE I,,LEADERSHIP DEVELOPMENT,4365.00720115,0.0499999532929,3
657,INSTRUCTIONAL STAFF TRAINING,TITLE I,,MATH / SCIENCE,1702.34184,0.0,4
658,INSTRUCTIONAL STAFF TRAINING,TITLE I,,PSYCHOLOGICAL SERVICES,94453.1104668,1.034976418641,9
659,INSTRUCTIONAL STAFF TRAINING,TITLE I,,SPECIAL EDUCATION,2399.43,0.0,1
660,INSTRUCTIONAL STAFF TRAINING,TITLE I,,SUMMER SCHOOL - HIGH SCHOOLS,1511.99608,0.0,2
661,INSTRUCTIONAL STAFF TRAINING,TITLE I,,TEACHER LEARNING & LEADERSHIP,19464.53923933,0.4197522531578999,26
662,INSTRUCTIONAL STAFF TRAINING,TITLE I,,TITLE I - EDUCATIONAL OUTREACH,768.6999999999999,0.0,1
663,INSTRUCTIONAL STAFF TRAINING,TITLE I,,,275096.62058311,1.02048591276397,79
664,INSTRUCTIONAL STAFF TRAINING,TITLE I A - ARRA,,ALL SCHOOLS-UNDISTRIBUTED,63698.128959999995,0.0,174
665,INSTRUCTIONAL STAFF TRAINING,TITLE I A - ARRA,,COMMUNITY ,461.98,0.0,1
666,INSTRUCTIONAL STAFF TRAINING,TITLE I A - ARRA,,FEDERAL PROG-INSTITUTIONS NEG,824.82,0.0,1
667,INSTRUCTIONAL STAFF TRAINING,TITLE I A - ARRA,,FEDERAL PROG-PRIVATE SCHOOL,3400.45,0.0,1
668,INSTRUCTIONAL STAFF TRAINING,TITLE I A - ARRA,,HUMANITIES,75789.09000000001,0.0,1
669,INSTRUCTIONAL STAFF TRAINING,TITLE I A - ARRA,,LEADERSHIP DEVELOPMENT,5.5200000000000005,0.0,1
670,INSTRUCTIONAL STAFF TRAINING,TITLE I A - ARRA,,MATH / SCIENCE,56625.27291648406,0.8110934277382355,433
671,INSTRUCTIONAL STAFF TRAINING,TITLE I A - ARRA,,SUMMER SCHOOL - HIGH SCHOOLS,44768.82576,0.0,99
672,INSTRUCTIONAL STAFF TRAINING,TITLE I A - ARRA,,TEACHER LEARNING & LEADERSHIP,24450.9627429128,0.7143870723964298,279
673,INSTRUCTIONAL STAFF TRAINING,TITLE I A - ARRA,,TEACHER PERFORMANCE ASSESSMENT,31056.879965620003,0.4166562428762,15
674,INSTRUCTIONAL STAFF TRAINING,TITLE I A - ARRA,,,322714.9004559078,6.48462146316083,1434
675,OTHER GENERAL EDUCATION,NON-PROJECT,,ALL SCHOOLS-UNDISTRIBUTED,217098.55406708,0.128857459208,9
676,OTHER GENERAL EDUCATION,NON-PROJECT,,ATHLETICS & STUDENT ACTIVITIES,3104.93,0.0,1
677,OTHER GENERAL EDUCATION,NON-PROJECT,,COMMUNITY ,1523535.46,0.0,1
678,OTHER GENERAL EDUCATION,NON-PROJECT,,CONNECTIONS ACADEMY,5978509.61,0.0,1
679,OTHER GENERAL EDUCATION,NON-PROJECT,,ED RESOURCE SERVICES,34206.42,0.0,1
680,OTHER GENERAL EDUCATION,NON-PROJECT,,ELEMENTARY EDUCATION,155320.408,0.0,145
681,OTHER GENERAL EDUCATION,NON-PROJECT,,ENGLISH FOR SPEAKERS OF OTHER,38115.36,0.0,3
682,OTHER GENERAL EDUCATION,NON-PROJECT,,ENVISION SCHOOLS COLORADO HS,1369015.88,0.0,1
683,OTHER GENERAL EDUCATION,NON-PROJECT,,HIGH SCHOOL EDUCATION,-28536.32,0.0,2
684,OTHER GENERAL EDUCATION,NON-PROJECT,,ITEMGA OUTDOOR EDUCATION,1873.41,0.0,1
685,OTHER GENERAL EDUCATION,NON-PROJECT,,"KIDS, INC",412277.7510391,4.74143643287,31
686,OTHER GENERAL EDUCATION,NON-PROJECT,,MATH / SCIENCE,9998.68,0.0,1
687,OTHER GENERAL EDUCATION,NON-PROJECT,,ORGANIZATION DISTRICT-WIDE,26548.66,0.0,4
688,OTHER GENERAL EDUCATION,NON-PROJECT,,PERSONNEL-PAID LEAVE,251.01999999999998,0.5000137252435,8
689,OTHER GENERAL EDUCATION,NON-PROJECT,,VOCATIONAL/TECHNICAL SCHOOLS,13016.429999999997,0.0,1
690,OTHER GENERAL EDUCATION,NON-PROJECT,,,28669675.02789994,8.79219598409841,244
691,OTHER GENERAL EDUCATION,Other,,ADMISSIONS AND STUDENT RECORDS,389272.06043487904,7.9931275313315,65
692,OTHER GENERAL EDUCATION,Other,,ALL SCHOOLS-UNDISTRIBUTED,2603598.5687346077,0.45902938637096763,318
693,OTHER GENERAL EDUCATION,Other,,CHARTER SCHOOL,32562.67,0.0,1
694,OTHER GENERAL EDUCATION,Other,,CHIEF ACADEMIC OFFICER,22647.518181862,0.3561738924115,17
695,OTHER GENERAL EDUCATION,Other,,COMMUNITY ,44003.07,0.0,5
696,OTHER GENERAL EDUCATION,Other,,COMMUNITY PARTNERSHIP,234.35,0.0,1
697,OTHER GENERAL EDUCATION,Other,,DISTRICT WIDE ORGANIZATION UNI,199.32,0.0,1
698,OTHER GENERAL EDUCATION,Other,,EARLY CHILDHOOD EDUCATION,3504420.12,0.0,6
699,OTHER GENERAL EDUCATION,Other,,ELEMENTARY EDUCATION,245746.612039781,0.17312321112163,82
700,OTHER GENERAL EDUCATION,Other,,ENVISION SCHOOLS COLORADO HS,120656.03,0.0,11
701,OTHER GENERAL EDUCATION,Other,,FEDERAL PROG-DELINQ INSTITUT,92643.27926730001,1.00002566532,9
702,OTHER GENERAL EDUCATION,Other,,FEDERAL PROGRAMS/EXTERNAL RESO,9166.5,0.0,7
703,OTHER GENERAL EDUCATION,Other,,GIFTED AND TALENTED,83715.85,0.0,11
704,OTHER GENERAL EDUCATION,Other,,HIGH SCHOOL EDUCATION,89028.86000000002,0.0,5
705,OTHER GENERAL EDUCATION,Other,,HUMANITIES,3552.2349600000002,0.0,10
706,OTHER GENERAL EDUCATION,Other,,"KIDS, INC",24528.45887104001,0.2769239837572,10
707,OTHER GENERAL EDUCATION,Other,,MIDDLE SCHOOL EDUCATION,89650.83000000003,0.0,2
708,OTHER GENERAL EDUCATION,Other,,OPPORTUNITY SCHOOL,134618.12,0.0,3
709,OTHER GENERAL EDUCATION,Other,,PRIVATE SCHOOLS,19924.660000000003,0.0,3
710,OTHER GENERAL EDUCATION,Other,,SCHOOL NURSE SERVICES,13895.45248,0.0,11
711,OTHER GENERAL EDUCATION,Other,,SPECIAL EDUCATION,159704.7832,0.0,70
712,OTHER GENERAL EDUCATION,Other,,,2718585.318225855,4.7352270846181,189
713,OTHER GENERAL EDUCATION,TITLE I,,FEDERAL PROG-INSTITUTIONS NEG,366564.14692062995,2.5513052197364,22
714,OTHER GENERAL EDUCATION,TITLE I,,FEDERAL PROG-PRIVATE SCHOOL,600912.27272042,9.07970842515723,67
715,OTHER GENERAL EDUCATION,TITLE I,,FEDERAL PROGRAMS/EXTERNAL RESO,6285361.180000001,0.0,3
716,OTHER GENERAL EDUCATION,TITLE I,,TITLE I - EDUCATIONAL OUTREACH,10476.297602824998,0.4541906883295,6
717,OTHER GENERAL EDUCATION,TITLE I,,,3023.4587056,0.128410243375,4
718,OTHER GENERAL EDUCATION,TITLE I A - ARRA,,FEDERAL PROG-INSTITUTIONS NEG,115587.509217164,0.2820841399951,18
719,OTHER GENERAL EDUCATION,TITLE I A - ARRA,,FEDERAL PROG-PRIVATE SCHOOL,60835.11232816,0.0961720731532,9
720,OTHER SUPPORT SERVICES,Other,,CHARTER SCHOOL,1740.57,0.0,1
721,OTHER SUPPORT SERVICES,Other,,DISTRICT COMMUNITY RELATIONS,16193.11,0.0,2
722,OTHER SUPPORT SERVICES,Other,,EARLY CHILDHOOD EDUCATION,69442.53000000001,0.0,7
723,OTHER SUPPORT SERVICES,Other,,ED RESOURCE SERVICES,21916.26,0.0,2
724,OTHER SUPPORT SERVICES,Other,,EDUCATIONAL SERVICES,3322.0599999999995,0.0,2
725,OTHER SUPPORT SERVICES,Other,,ELEMENTARY EDUCATION,681498.1900000001,0.0,4
726,OTHER SUPPORT SERVICES,Other,,ENGLISH FOR SPEAKERS OF OTHER,20227.989999999998,0.0,2
727,OTHER SUPPORT SERVICES,Other,,FEDERAL PROG-DELINQ INSTITUT,38856.81,0.0,3
728,OTHER SUPPORT SERVICES,Other,,FEDERAL PROGRAMS/EXTERNAL RESO,538819.11,0.0,11
729,OTHER SUPPORT SERVICES,Other,,GENERAL LEDGER ACCOUNTING,16123.94,0.0,1
730,OTHER SUPPORT SERVICES,Other,,HIGH SCHOOL EDUCATION,367.92,0.0,1
731,OTHER SUPPORT SERVICES,Other,,HUMANITIES,8293.93,0.0,6
732,OTHER SUPPORT SERVICES,Other,,INTENTIONAL SCHOOL CULTURE,1348.64,0.0,1
733,OTHER SUPPORT SERVICES,Other,,INTERDISCIPLINARY,0.0,0.0,1
734,OTHER SUPPORT SERVICES,Other,,LEADERSHIP DEVELOPMENT,23069.010000000002,0.0,3
735,OTHER SUPPORT SERVICES,Other,,MATH / SCIENCE,5726.35,0.0,4
736,OTHER SUPPORT SERVICES,Other,,MIDDLE SCHOOL EDUCATION,-6.450000000000017,0.0,2
737,OTHER SUPPORT SERVICES,Other,,MULTILINGUAL OUTREACH,9690.86,0.0,1
738,OTHER SUPPORT SERVICES,Other,,OFFICE OF SCHOOL TURNAROUND,7943.27,0.0,1
739,OTHER SUPPORT SERVICES,Other,,OPPORTUNITY SCHOOL,94267.34000000001,0.0,6
740,OTHER SUPPORT SERVICES,Other,,SCHOOL/COMMUNITY PARTNERSHIPS,-0.1,0.0,1
741,OTHER SUPPORT SERVICES,Other,,SECONDARY PATHWAYS,15752.669999999998,0.0,2
742,OTHER SUPPORT SERVICES,Other,,SPECIAL EDUCATION,1020815.0100000001,0.0,10
743,OTHER SUPPORT SERVICES,Other,,TEACHER EFFECTIVENESS,29249.36,0.0,2
